"","name","circuit","jcs"
"386","Mansfield, Walter R.",2,-0.123999997973442
"387","Mansmann, Carol Los",3,0.0729999989271164
"388","Marcus, Stanley",11,-0.231000006198883
"389","Maris, Albert B.",3,-0.656000018119812
"390","Markey, Howard T.",13,0.691999971866608
"391","Marshall, Thurgood",2,-0.472000002861023
"392","Martin, Beverly",11,-0.358000010251999
"393","Martin, Boyce F., Jr.",6,-0.295500010251999
"394","Martin, John D.",6,-0.155000001192093
"395","Matey, Paul",3,0.402999997138977
"396","Matheson, Scott",10,-0.358000010251999
"397","Mathews, Clifton",9,-0.226000010967255
"398","Mathis, Andre",6,-0.319999992847443
"399","Matthes, Marion C.",8,0.28099998831749
"400","Mayer, H. Robert",13,0.691999971866608
"401","McAllister, Thomas",6,-0.324000000953674
"402","McConnell, Michael W.",10,0.356499999761581
"403","McCord, Leon",5,-0.336333334445953
"404","McCree, Wade H.",6,-0.521499991416931
"405","McEntee, Edward",1,-0.293999999761581
"406","McGowan, Carl",12,-0.404500007629395
"407","McHugh, Carolyn",10,-0.358000010251999
"408","McKay, Monroe G.",10,-0.504000008106232
"409","McKeauge, David",6,0.693000018596649
"410","McKee, Theodore Alexander",3,-0.333999991416931
"411","McKeown, M. Margaret",9,-0.351999998092651
"412","McLaughlin, Gerald",3,-0.12899999320507
"413","McLaughlin, Joseph W.",2,0.181999996304512
"414","McMillian, Theodore",8,-0.379999995231628
"415","McWilliams, Robert H.",10,0.338499993085861
"416","Medina, Harold R.",2,-0.657999992370605
"417","Mehaffy, Pat",8,-0.181500002741814
"418","Melloy, Michael J.",8,0.358000010251999
"419","Menashi, Steven",2,0.402999997138977
"420","Mendoza, Salvador",9,-0.328500002622604
"421","Merriam, Sarah A.L.",2,-0.354000002145767
"422","Merrill, Charles",9,0.28099998831749
"423","Merritt, Gilbert S.",6,-0.354999989271164
"424","Meskill, Thomas J.",2,0.0719999969005585
"425","Michael, M. Blane",4,-0.317499995231628
"426","Michel, Paul R.",13,0.691999971866608
"427","Mikva, Abner J.",12,-0.504000008106232
"428","Milburn, H. Ted",6,0.282999992370605
"429","Miller, Eric",9,0.402999997138977
"430","Miller, Shackelford",6,-0.281000018119812
"431","Miller, Wilbur K., Jr.",12,-0.370999991893768
"432","Miller, William Ernest",6,0.282999992370605
"433","Millett, Patricia",12,-0.358000010251999
"434","Miner, Roger J.",2,0.181999996304512
"435","Minton, Sherman",7,-0.115000002086163
"436","Montecalvo, Lara",1,-0.361000001430511
"437","Montgomery-Reeves, Tamika",3,-0.20550000667572
"438","Moore, John P.",10,0.508000016212463
"439","Moore, Karen",6,-0.261999994516373
"440","Moore, Kimberly",13,0.693000018596649
"441","Moore, Leonard P.",2,-0.0405000001192093
"442","Morgan, Lewis Render",5,-0.0429999977350235
"443","Moritz, Nancy",10,-0.358000010251999
"444","Motz, Diana Gribbon",4,-0.402500003576279
"445","Mulligan, William H.",2,-0.123999997973442
"446","Murguia, Mary",9,-0.358000010251999
"447","Murnaghan, Francis D.",4,-0.435000002384186
"448","Murphy, Diana E.",8,-0.583000004291534
"449","Murphy, Eric",6,0.370999991893768
"450","Murphy, Michael",10,-0.437999993562698
"451","Murrah, Alfred",10,-0.1875
"452","Nalbandian, John",6,0.647499978542328
"453","Nardini, William",2,0.402999997138977
"454","Nathan, Alison",2,-0.412000000476837
"455","Neilson, Susan",6,0.693000018596649
"456","Nelson, David A.",6,0.691999971866608
"457","Nelson, Dorothy Wright",9,-0.386999994516373
"458","Nelson, Ryan",9,0.527999997138977
"459","Nelson, Thomas G.",9,0.58950001001358
"460","Newman, Jon O.",2,-0.312999993562698
"461","Newman, Pauline",13,0.691999971866608
"462","Newsom, Kevin",11,0.518333315849304
"463","Nguyen, Jacqueline",9,-0.358999997377396
"464","Niemeyer, Paul V.",4,0.556999981403351
"465","Noonan, John T.",9,0.351999998092651
"466","Norris, Alan E.",6,0.691999971866608
"467","Norris, William Albert",9,-0.386999994516373
"468","Nygaard, Richard L.",3,0.0729999989271164
"469","O'Brien, Terrence L.",10,0.495500028133392
"470","O'Connell, John J.",3,-0.550999999046326
"471","O'Malley, Kathleen",13,-0.358000010251999
"472","O'Scannlain, Diaruid F.",9,0.0955000072717667
"473","O'Sullivan, Clifford",6,0.28099998831749
"474","Oakes, James L.",2,0.0956666693091393
"475","Oldham, Andy",5,0.630500018596649
"476","Orr, William E.",9,-0.0950000062584877
"477","Owen, Priscilla",5,0.413500010967255
"478","Owens, John",9,-0.358999997377396
"479","Paez, Richard",9,-0.358999997377396
"480","Pan, Florence",12,-0.319999992847443
"481","Park, Michael",2,0.402999997138977
"482","Parker, Barrington D.",2,0.693000018596649
"483","Parker, Fred Irving",2,-0.360000014305115
"484","Parker, Robert Manley",5,-0.116999998688698
"485","Parkinson, William L.",7,0.471000015735626
"486","Peck, John W.",6,-0.0690000057220459
"487","Pell, Wilbur F.",7,0.551999986171722
"488","Perez, Myrna",2,-0.412000000476837
"489","Phillips, Gregory",10,-0.358000010251999
"490","Phillips, Harry",6,-0.303333342075348
"491","Phillips, James D.",4,-0.237000003457069
"492","Phillips, Orie",10,0.226999998092651
"493","Phipps, Peter",3,0.624000012874603
"494","Pickering, Charles",5,0.338499993085861
"495","Pickett, John C.",10,-0.200500011444092
"496","Pierce, Lawrence W.",2,0.181999996304512
"497","Pillard, Cornelia",12,-0.358000010251999
"498","Plager, S. Jay",13,0.556999981403351
"499","Politz, Henry A.",5,-0.186000004410744
"500","Poole, Cecil F.",9,-0.386999994516373
"501","Pooler, Rosemary",2,-0.300999999046326
"502","Pope, Walter",9,-0.432000011205673
"503","Porter, David J.",3,0.624000012874603
"504","Posner, Richard A.",7,0.0989999994635582
"505","Prado, Edward",5,0.413500010967255
"506","Pratt, George C.",2,0.181999996304512
"507","Pregerson, Harry",9,-0.386999994516373
"508","Prettyman, Elijah B.",12,-0.370999991893768
"509","Proctor, James M.",12,-0.374000012874603
"510","Prost, Sharon",13,0.693000018596649
"511","Pryor, Doris",7,-0.319999992847443
"512","Pryor, Jill",11,-0.358000010251999
"513","Pryor, William",11,0.497500002384186
"514","Quattlebaum, A. Marvin",4,0.5
"515","Rader, Randall R.",13,0.556999981403351
"516","Raggi, Reena",2,0.693000018596649
"517","Randolph, A. Raymond",12,0.556999981403351
"518","Rao, Naomi",12,0.402999997138977
"519","Rawlinson, Johnnie B.",9,-0.258499979972839
"520","Readler, Chad",6,0.370999991893768
"521","Reavley, Thomas M.",5,-0.163000002503395
"522","Reinhardt, Stephen R.",9,-0.386999994516373
"523","Rendell, Marjorie",3,-0.437999993562698
"524","Restrepo, L. Felipe",3,-0.312999993562698
"525","Reyna, Jimmie",13,-0.358000010251999
"526","Rich, Giles Sutherland",13,0.691999971866608
"527","Richardson, Julius",4,0.5
"528","Riddick, Walter",8,-0.159999996423721
"529","Ridge, Albert",8,-0.314999997615814
"530","Rikelman, Julie",1,-0.631999969482422
"531","Riley, William J.",8,0.34400001168251
"532","Ripple, Kenneth F.",7,0.400999993085861
"533","Rives, Richard",5,-0.234499990940094
"534","Robb, Roger",12,0.551999986171722
"535","Roberts, John",12,0.693000018596649
"536","Robinson, Beth",2,-0.360000014305115
"537","Robinson, Spottswood W., III",12,-0.337000012397766
"538","Rogers, John M.",6,0.462500035762787
"539","Rogers, Judith Ann Wilson",12,-0.437999993562698
"540","Roney, Paul H.",5,0.305999994277954
"541","Roney, Paul H.",11,0.305999994277954
"542","Rosen, James",3,-0.108000002801418
"543","Rosenbaum, Robin",11,-0.193000003695488
"544","Rosenn, Max",3,0.0954999998211861
"545","Ross, Donald Roe",8,0.46900001168251
"546","Rossman, Veronica",10,-0.236000001430511
"547","Roth, Jane R.",3,0.272000014781952
"548","Rovner, Ilana Diamond",7,0.556999981403351
"549","Rubin, Alvin B.",5,-0.186000004410744
"550","Rushing, Allison",4,0.415000021457672
"551","Russell, Donald Stuart",4,0.391000002622604
"552","Russell, Robert L.",5,-0.0295000020414591
"553","Ryan, James L.",6,0.691999971866608
"554","Rymer, Pamela A.",9,0.351999998092651
"555","Sack, Robert",2,-0.300999999046326
"556","Sanborn, John B.",8,0.321000009775162
"557","Sanchez, Gabriel",9,-0.454666674137115
"558","Sarokin, Haddon Lee",3,-0.347499996423721
"559","Scalia, Antonin",12,0.691999971866608
"560","Schall, Alvin A.",13,0.556999981403351
"561","Schnackenberg, Elmer",7,0.31700000166893
"562","Schroeder, Mary Murphy",9,-0.216000005602837
"563","Scirica, Anthony J.",3,0.0729999989271164
"564","Scudder, Michael",7,0.402999997138977
"565","Seitz, Collins J.",3,-0.337000012397766
"566","Selya, Bruce M.",1,0.0839999988675117
"567","Sentelle, David B.",12,0.691999971866608
"568","Seth, Oliver",10,-0.203500002622604
"569","Seymour, Stephanie Kulp",10,-0.142000004649162
"570","Shedd, Dennis W.",4,0.391000002622604
"571","Shepard, Bobby",8,0.693000018596649
"572","Shwartz, Patty",3,-0.44266664981842
"573","Sibley, Samuel",5,NA
"574","Silberman, Laurence H.",12,0.691999971866608
"575","Siler, Eugene E., Jr.",6,0.404000014066696
"576","Silverman, Barry G.",9,-0.437999993562698
"577","Simons, Charles Caspar",6,0.182000011205673
"578","Simpson, John Milton Bryan",5,-0.06700000166893
"579","Skopil, Otto R.",9,-0.504000008106232
"580","Sloviter, Dolores K.",3,-0.504000008106232
"581","Smith, D. Brooks",3,0.203000009059906
