"","first_last_court","first.name","last.name","first_last_court_eval.year","eval.year","court","pap","gender","asian","black","hispanic","white","judjis_score"
"909","Robert Bacharach (10)","Robert","Bacharach","Robert Bacharach (10) 2015",2015,"Tenth Circuit",0,1,0,0,0,1,0.25
"1700","Bobby Baldock (10)","Bobby","Baldock","Bobby Baldock (10) 1990",1990,"Tenth Circuit",1,1,0,0,0,1,0.333333333333333
"1711","Bobby Baldock (10)","Bobby","Baldock","Bobby Baldock (10) 1998",1998,"Tenth Circuit",1,1,0,0,0,1,0.745959595969697
"1719","Bobby Baldock (10)","Bobby","Baldock","Bobby Baldock (10) 2001",2001,"Tenth Circuit",1,1,0,0,0,1,0.5
"1727","Bobby Baldock (10)","Bobby","Baldock","Bobby Baldock (10) 2004",2004,"Tenth Circuit",1,1,0,0,0,1,0.5
"1730","Bobby Baldock (10)","Bobby","Baldock","Bobby Baldock (10) 2005",2005,"Tenth Circuit",1,1,0,0,0,1,0.574074074074074
"1739","Bobby Baldock (10)","Bobby","Baldock","Bobby Baldock (10) 2009",2009,"Tenth Circuit",1,1,0,0,0,1,0.285714285714286
"1748","Bobby Baldock (10)","Bobby","Baldock","Bobby Baldock (10) 2013",2013,"Tenth Circuit",1,1,0,0,0,1,0.365079365095238
"1755","Bobby Baldock (10)","Bobby","Baldock","Bobby Baldock (10) 2015",2015,"Tenth Circuit",1,1,0,0,0,1,0.586419753074074
"242","Rosemary Barkett (11)","Rosemary","Barkett","Rosemary Barkett (11) 1998",1998,"Eleventh Circuit",0,0,0,0,0,1,-0.58
"246","Rosemary Barkett (11)","Rosemary","Barkett","Rosemary Barkett (11) 2001",2001,"Eleventh Circuit",0,0,0,0,0,1,-0.75
"249","Rosemary Barkett (11)","Rosemary","Barkett","Rosemary Barkett (11) 2004",2004,"Eleventh Circuit",0,0,0,0,0,1,-0.545454545454545
"253","Rosemary Barkett (11)","Rosemary","Barkett","Rosemary Barkett (11) 2007",2007,"Eleventh Circuit",0,0,0,0,0,1,-0.592063492047619
"258","Rosemary Barkett (11)","Rosemary","Barkett","Rosemary Barkett (11) 2012",2012,"Eleventh Circuit",0,0,0,0,0,1,-0.621212121212121
"1203","Rhesa Barksdale (5)","Rhesa","Barksdale","Rhesa Barksdale (5) 1995",1995,"Fifth Circuit",1,1,0,0,0,1,0.733333333333333
"1214","Rhesa Barksdale (5)","Rhesa","Barksdale","Rhesa Barksdale (5) 2000",2000,"Fifth Circuit",1,1,0,0,0,1,0.833333333333333
"1223","Rhesa Barksdale (5)","Rhesa","Barksdale","Rhesa Barksdale (5) 2004",2004,"Fifth Circuit",1,1,0,0,0,1,0.769230769230769
"1231","Rhesa Barksdale (5)","Rhesa","Barksdale","Rhesa Barksdale (5) 2007",2007,"Fifth Circuit",1,1,0,0,0,1,0.699346405235294
"1240","Rhesa Barksdale (5)","Rhesa","Barksdale","Rhesa Barksdale (5) 2012",2012,"Fifth Circuit",1,1,0,0,0,1,0.472222222222222
"1248","Rhesa Barksdale (5)","Rhesa","Barksdale","Rhesa Barksdale (5) 2014",2014,"Fifth Circuit",1,1,0,0,0,1,0.361111111111111
"1255","Rhesa Barksdale (5)","Rhesa","Barksdale","Rhesa Barksdale (5) 2017",2017,"Fifth Circuit",1,1,0,0,0,1,0.603174603190476
"1701","James Barrett (10)","James","Barrett","James Barrett (10) 1990",1990,"Tenth Circuit",1,1,0,0,0,1,0.444444444444444
"1706","James Barrett (10)","James","Barrett","James Barrett (10) 1992",1992,"Tenth Circuit",1,1,0,0,0,1,0.666666666666667
"1713","James Barrett (10)","James","Barrett","James Barrett (10) 1998",1998,"Tenth Circuit",1,1,0,0,0,1,0.555555555555556
"1721","James Barrett (10)","James","Barrett","James Barrett (10) 2001",2001,"Tenth Circuit",1,1,0,0,0,1,0.513888888875
"671","David Barron (1)","David","Barron","David Barron (1) 2016",2016,"First Circuit",0,1,0,0,0,1,-0.166666666666667
"510","Maryanne Barry (3)","Maryanne","Barry","Maryanne Barry (3) 2004",2004,"Third Circuit",1,0,0,0,0,1,0.307692307692308
"512","Maryanne Barry (3)","Maryanne","Barry","Maryanne Barry (3) 2006",2006,"Third Circuit",1,0,0,0,0,1,-0.125
"514","Maryanne Barry (3)","Maryanne","Barry","Maryanne Barry (3) 2010",2010,"Third Circuit",1,0,0,0,0,1,0.0740740740740741
"516","Maryanne Barry (3)","Maryanne","Barry","Maryanne Barry (3) 2013",2013,"Third Circuit",1,0,0,0,0,1,0.0714285714285714
"518","Maryanne Barry (3)","Maryanne","Barry","Maryanne Barry (3) 2016",2016,"Third Circuit",1,0,0,0,0,1,0
"476","Alice Batchelder (6)","Alice","Batchelder","Alice Batchelder (6) 1995",1995,"Sixth Circuit",1,0,0,0,0,1,0.733333333333333
"479","Alice Batchelder (6)","Alice","Batchelder","Alice Batchelder (6) 1999",1999,"Sixth Circuit",1,0,0,0,0,1,0.571428571428571
"481","Alice Batchelder (6)","Alice","Batchelder","Alice Batchelder (6) 2002",2002,"Sixth Circuit",1,0,0,0,0,1,0.688888888866667
"484","Alice Batchelder (6)","Alice","Batchelder","Alice Batchelder (6) 2006",2006,"Sixth Circuit",1,0,0,0,0,1,0.380952380952381
"487","Alice Batchelder (6)","Alice","Batchelder","Alice Batchelder (6) 2010",2010,"Sixth Circuit",1,0,0,0,0,1,0.316666666666667
"491","Alice Batchelder (6)","Alice","Batchelder","Alice Batchelder (6) 2013",2013,"Sixth Circuit",1,0,0,0,0,1,0.555555555566667
"495","Alice Batchelder (6)","Alice","Batchelder","Alice Batchelder (6) 2017",2017,"Sixth Circuit",1,0,0,0,0,1,0.571428571428571
"1548","William Bauer (7)","William","Bauer","William Bauer (7) 1990",1990,"Seventh Circuit",1,1,0,0,0,1,0.5
"1558","William Bauer (7)","William","Bauer","William Bauer (7) 1991",1991,"Seventh Circuit",1,1,0,0,0,1,0.388888888888889
"1567","William Bauer (7)","William","Bauer","William Bauer (7) 1997",1997,"Seventh Circuit",1,1,0,0,0,1,0.583333333333333
"1577","William Bauer (7)","William","Bauer","William Bauer (7) 2000",2000,"Seventh Circuit",1,1,0,0,0,1,0.34375
"1585","William Bauer (7)","William","Bauer","William Bauer (7) 2004",2004,"Seventh Circuit",1,1,0,0,0,1,0.555555555583333
"1593","William Bauer (7)","William","Bauer","William Bauer (7) 2007",2007,"Seventh Circuit",1,1,0,0,0,1,0.144444444433333
"1601","William Bauer (7)","William","Bauer","William Bauer (7) 2012",2012,"Seventh Circuit",1,1,0,0,0,1,0.104166666666667
"1609","William Bauer (7)","William","Bauer","William Bauer (7) 2014",2014,"Seventh Circuit",1,1,0,0,0,1,0.277777777777778
"1616","William Bauer (7)","William","Bauer","William Bauer (7) 2017",2017,"Seventh Circuit",1,1,0,0,0,1,0.194444444444444
"221","Carlos Bea (9)","Carlos","Bea","Carlos Bea (9) 2009",2009,"Ninth Circuit",1,1,0,0,1,0,0.222222222238095
"223","Carlos Bea (9)","Carlos","Bea","Carlos Bea (9) 2014",2014,"Ninth Circuit",1,1,0,0,1,0,0.383333333333333
"225","Carlos Bea (9)","Carlos","Bea","Carlos Bea (9) 2018",2018,"Ninth Circuit",1,1,0,0,1,0,0.222222222222222
"966","Clarence Beam (8)","Clarence","Beam","Clarence Beam (8) 1990",1990,"Eighth Circuit",1,1,0,0,0,1,0.333333333333333
"976","Clarence Beam (8)","Clarence","Beam","Clarence Beam (8) 1993",1993,"Eighth Circuit",1,1,0,0,0,1,0.866666666666667
"985","Clarence Beam (8)","Clarence","Beam","Clarence Beam (8) 1996",1996,"Eighth Circuit",1,1,0,0,0,1,0.333333333333333
"986","Clarence Beam (8)","Clarence","Beam","Clarence Beam (8) 1997",1997,"Eighth Circuit",1,1,0,0,0,1,0.638888888888889
"997","Clarence Beam (8)","Clarence","Beam","Clarence Beam (8) 1998",1998,"Eighth Circuit",1,1,0,0,0,1,0.638888888888889
"1000","Clarence Beam (8)","Clarence","Beam","Clarence Beam (8) 2001",2001,"Eighth Circuit",1,1,0,0,0,1,0.453703703722222
"1014","Clarence Beam (8)","Clarence","Beam","Clarence Beam (8) 2005",2005,"Eighth Circuit",1,1,0,0,0,1,0.333333333333333
"1025","Clarence Beam (8)","Clarence","Beam","Clarence Beam (8) 2008",2008,"Eighth Circuit",1,1,0,0,0,1,0.416666666666667
"1037","Clarence Beam (8)","Clarence","Beam","Clarence Beam (8) 2012",2012,"Eighth Circuit",1,1,0,0,0,1,0
"1048","Clarence Beam (8)","Clarence","Beam","Clarence Beam (8) 2016",2016,"Eighth Circuit",1,1,0,0,0,1,0.611111111111111
"1764","Edward Becker (3)","Edward","Becker","Edward Becker (3) 1990",1990,"Third Circuit",1,1,0,0,0,1,0
"1773","Edward Becker (3)","Edward","Becker","Edward Becker (3) 1993",1993,"Third Circuit",1,1,0,0,0,1,-0.125
